Date,Close,High,Low,Open,Volume,Ticker,Daily Return,SMA_20,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,MSFT,MSFT,MSFT,MSFT,MSFT,TSLA,TSLA,TSLA,TSLA,TSLA,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
2022-01-03,178.6456298828125,179.49955854778523,174.42512523500616,174.54290230186947,104487900.0,AAPL,,,,,,,,,,,,,,,,,,,,,,
2022-01-04,176.37835693359375,179.55847298837972,175.80907606705392,179.25420553725706,99310400.0,AAPL,-0.012691454869094954,,,,,,,,,,,,,,,,,,,,,
2022-01-05,171.68667602539062,176.83963199708424,171.41185290503924,176.28998575638147,94537600.0,AAPL,-0.02660009419392395,,,,,,,,,,,,,,,,,,,,,
2022-01-06,168.82064819335938,172.05965199706762,168.46730205155964,169.50770597554322,96904000.0,AAPL,-0.016693361991628297,,,,,,,,,,,,,,,,,,,,,
2022-01-07,168.98751831054688,170.92110500332652,167.86859126297153,169.69421065393524,86709100.0,AAPL,0.0009884461348375062,,,,,,,,,,,,,,,,,,,,,
2022-01-10,169.00717163085938,169.31143906710747,165.06147477041716,165.95465755063788,106765600.0,AAPL,0.00011630042567034593,,,,,,,,,,,,,,,,,,,,,
2022-01-11,171.84375,171.9418925722171,167.66249900972133,169.13477238363146,76138300.0,AAPL,0.01678377516035945,,,,,,,,,,,,,,,,,,,,,
2022-01-12,172.28541564941406,173.90491024436494,171.58854802680634,172.8645062038037,74805200.0,AAPL,0.00257015835265495,,,,,,,,,,,,,,,,,,,,,
2022-01-13,169.00717163085938,173.35527850038557,168.61455640929785,172.53080900021536,84505800.0,AAPL,-0.019027983339144794,,,,,,,,,,,,,,,,,,,,,
2022-01-14,169.8709259033203,170.56779364905069,167.92751407393143,168.17289299389805,80440800.0,AAPL,0.0051107551479976365,,,,,,,,,,,,,,,,,,,,,
2022-01-18,166.66134643554688,169.35068950665382,166.27855596311068,168.33972966979056,90956700.0,AAPL,-0.01889422483986536,,,,,,,,,,,,,,,,,,,,,
2022-01-19,163.15731811523438,167.9176743026287,162.87268520870163,166.85763576058818,94815000.0,AAPL,-0.0210248410639573,,,,,,,,,,,,,,,,,,,,,
2022-01-20,161.46913146972656,166.54356549753263,161.14522951347425,163.8934762825247,91420500.0,AAPL,-0.010346986975573347,,,,,,,,,,,,,,,,,,,,,
2022-01-21,159.40794372558594,163.25548287606637,159.2999764162496,161.38078458519854,122848900.0,AAPL,-0.012765212306397267,,,,,,,,,,,,,,,,,,,,,
2022-01-24,158.6325225830078,159.29996087836932,151.84043745137762,157.06210684561927,162294600.0,AAPL,-0.004864382065632666,,,,,,,,,,,,,,,,,,,,,
2022-01-25,156.82655334472656,159.7514654895658,154.1175758189767,156.04133790955973,115798400.0,AAPL,-0.011384608962113907,,,,,,,,,,,,,,,,,,,,,
2022-01-26,156.73822021484375,161.35134029387297,154.90279093312674,160.47779205545413,108275300.0,AAPL,-0.0005632536582541592,,,,,,,,,,,,,,,,,,,,,
2022-01-27,156.27691650390625,160.81151382611307,155.35428943492713,159.44720772831658,121954600.0,AAPL,-0.002943147563530979,,,,,,,,,,,,,,,,,,,,,
2022-01-28,167.18154907226562,167.2011835771804,159.79073801782928,162.64695192499494,179935700.0,AAPL,0.0697776281507756,,,,,,,,,,,,,,,,,,,,,
2022-01-31,171.54928588867188,171.76522050687674,166.37669476906368,167.0146888598467,115541600.0,AAPL,0.026125710885226194,166.7217025756836,,,,,,,,,,,,,,,,,,,,
2022-02-01,171.3824462890625,171.6081906924981,169.12495732448602,170.79353091508946,86213900.0,AAPL,-0.0009725461621428177,166.3585433959961,,,,,,,,,,,,,,,,,,,,
2022-02-02,172.58970642089844,172.62897543344508,170.1261075578704,171.51985796847407,84914300.0,AAPL,0.007044246117246411,166.16911087036132,,,,,,,,,,,,,,,,,,,,
2022-02-03,169.70404052734375,172.98231399971922,168.93845956073986,171.25483696595504,89418100.0,AAPL,-0.016719803013728662,166.069979095459,,,,,,,,,,,,,,,,,,,,
2022-02-04,169.41905212402344,171.09958880025067,167.7385154477962,168.72128157532018,82465400.0,AAPL,-0.0016793259750017553,166.0998992919922,,,,,,,,,,,,,,,,,,,,
2022-02-07,168.70166015625,170.95218829836574,168.00388951197547,169.8809766716415,77251200.0,AAPL,-0.004234423217338468,166.08560638427736,,,,,,,,,,,,,,,,,,,,
2022-02-08,171.81700134277344,172.32804392038554,168.4755875609354,168.7704203940124,74829200.0,AAPL,0.018466571008477484,166.22609786987306,,,,,,,,,,,,,,,,,,,,
2022-02-09,173.24200439453125,173.60562304759242,171.88578239754793,173.01597239364082,71285000.0,AAPL,0.008293725537177554,166.2960105895996,,,,,,,,,,,,,,,,,,,,
2022-02-10,169.1536865234375,172.45578102776864,168.59351767675065,171.13887812913805,90865900.0,AAPL,-0.023598883454287733,166.1394241333008,,,,,,,,,,,,,,,,,,,,
2022-02-11,165.73367309570312,170.09715694195197,165.14400744238606,169.3600823732159,98670700.0,AAPL,-0.020218379498696315,165.97574920654296,,,,,,,,,,,,,,,,,,,,
2022-02-14,165.96954345703125,166.65747672658372,163.68951891129095,164.48555705147456,86185500.0,AAPL,0.0014231891257965312,165.78068008422852,,,,,,,,,,,,,,,,,,,,
2022-02-15,169.81216430664062,169.96941049690344,167.3159447684623,168.02353762882288,62527400.0,AAPL,0.023152566245409956,165.9382209777832,,,,,,,,,,,,,,,,,,,,
2022-02-16,169.57630920410156,170.35268789659128,167.1193937273566,168.88837586977738,61177400.0,AAPL,-0.0013889175931658393,166.25917053222656,,,,,,,,,,,,,,,,,,,,
2022-02-17,165.96954345703125,168.94732353481027,165.56660575778602,168.0824845697611,69589300.0,AAPL,-0.02126927849767757,166.48419113159179,,,,,,,,,,,,,,,,,,,,
2022-02-18,164.416748046875,167.6009001587836,163.32587723184227,166.89332246399607,82772700.0,AAPL,-0.009355905775316309,166.73463134765626,,,,,,,,,,,,,,,,,,,,
2022-02-22,161.48814392089844,163.81729494035432,159.35552814005308,162.1367581949425,91162800.0,AAPL,-0.01781207912676641,166.87741241455078,,,,,,,,,,,,,,,,,,,,
2022-02-23,157.31137084960938,163.28657531432245,156.9968785115613,162.68708741626082,90009200.0,AAPL,-0.02586427071287023,166.90165328979492,,,,,,,,,,,,,,,,,,,,
2022-02-24,159.9353485107422,160.04345337346268,149.3804359903009,149.9504420850254,141147500.0,AAPL,0.016680152534182424,167.06150970458984,,,,,,,,,,,,,,,,,,,,
2022-02-25,162.0089874267578,162.27432346013268,158.09756779697935,161.0163841306603,91974200.0,AAPL,0.01296548221093441,167.3481132507324,,,,,,,,,,,,,,,,,,,,
2022-02-28,162.27432250976562,162.56915531871957,159.63067948265063,160.24982688187194,95056600.0,AAPL,0.0016377800220976901,167.1027519226074,,,,,,,,,,,,,,,,,,,,
2022-03-01,160.38742065429688,163.72883431123614,159.17862257926774,161.86156976875884,83474400.0,AAPL,-0.011627852307657616,166.54465866088867,,,,,,,,,,,,,,,,,,,,
2022-03-02,163.68948364257812,164.4756993508766,160.1416981927737,161.55688346854748,79724800.0,AAPL,0.020588042221831193,166.16001052856444,,,,,,,,,,,,,,,,,,,,
2022-03-03,163.3651885986328,165.99900928641364,162.69691491410015,165.5665898454482,76678400.0,AAPL,-0.001981159917722186,165.69878463745118,,,,,,,,,,,,,,,,,,,,
2022-03-04,160.35794067382812,162.69692876038988,159.30638875818744,161.65519910712737,83737200.0,AAPL,-0.018408131809483086,165.2314796447754,,,,,,,,,,,,,,,,,,,,
2022-03-07,156.5546417236328,162.17606497919274,156.29911294194886,160.54466966467405,96418800.0,AAPL,-0.02371755919422358,164.58825912475587,,,,,,,,,,,,,,,,,,,,
2022-03-08,154.7266845703125,160.0729341178279,153.1149488975309,156.08290647641851,131148300.0,AAPL,-0.011676160688657289,163.88951034545897,,,,,,,,,,,,,,,,,,,,
2022-03-09,160.1417236328125,160.59380261054181,156.66273844037977,158.69705635061237,91454900.0,AAPL,0.0349974477740409,163.30574645996094,,,,,,,,,,,,,,,,,,,,
2022-03-10,155.7880859375,157.62585374072557,153.2918516527838,157.43912578291366,105342000.0,AAPL,-0.027186154841788213,162.43305053710938,,,,,,,,,,,,,,,,,,,,
